Results.reception.time,MD5.hash.of.participant.s.IP.address,Controller.name,Order.number.of.item,Inner.element.number,Label,Latin.Square.Group,PennElementType,PennElementName,Parameter,Value,EventTime,TrialNumber,AnswerRT,DialogueRT,A2,A1,D3,D2,D1,Condition,ConditionName,Answer,Inference,Item,Group,Type,Comments
1759440314,146468190c761e973af085b5d4a89753,PennController,1,0,intro,NULL,PennController,0,_Trial_,Start,1759440076135,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,1,0,intro,NULL,PennController,0,_Header_,Start,1759440076135,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,1,0,intro,NULL,PennController,0,_Header_,End,1759440076135,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,1,0,intro,NULL,PennController,0,_Trial_,End,1759440081668,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,2,0,consent,NULL,PennController,1,_Trial_,Start,1759440081669,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,2,0,consent,NULL,PennController,1,_Header_,Start,1759440081669,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,2,0,consent,NULL,PennController,1,_Header_,End,1759440081669,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,2,0,consent,NULL,PennController,1,_Trial_,End,1759440084124,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,3,0,demo,NULL,PennController,2,_Trial_,Start,1759440084124,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,3,0,demo,NULL,PennController,2,_Header_,Start,1759440084124,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,3,0,demo,NULL,PennController,2,_Header_,End,1759440084125,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,3,0,demo,NULL,TextInput,age,First,"",1759440087308,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,6
1759440314,146468190c761e973af085b5d4a89753,PennController,3,0,demo,NULL,TextInput,gender,First,"",1759440091452,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,m
1759440314,146468190c761e973af085b5d4a89753,PennController,3,0,demo,NULL,TextInput,geo,First,"",1759440096172,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Shift
1759440314,146468190c761e973af085b5d4a89753,PennController,3,0,demo,NULL,TextInput,comp,First,"",1759440104117,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Shift
1759440314,146468190c761e973af085b5d4a89753,PennController,3,0,demo,NULL,TextInput,language,First,"",1759440107126,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Shift
1759440314,146468190c761e973af085b5d4a89753,PennController,3,0,demo,NULL,TextInput,age,Final,36,1759440113571,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,3,0,demo,NULL,TextInput,gender,Final,male,1759440113572,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,3,0,demo,NULL,TextInput,geo,Final,CA%2CUSA,1759440113572,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,3,0,demo,NULL,TextInput,comp,Final,PC,1759440113572,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,3,0,demo,NULL,TextInput,language,Final,English,1759440113572,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,3,0,demo,NULL,TextInput,otherlg,Final,"",1759440113572,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,3,0,demo,NULL,PennController,2,_Trial_,End,1759440113572,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,4,0,inst-1,NULL,PennController,3,_Trial_,Start,1759440113574,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,4,0,inst-1,NULL,PennController,3,_Header_,Start,1759440113574,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,4,0,inst-1,NULL,PennController,3,_Header_,End,1759440113574,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,4,0,inst-1,NULL,PennController,3,_Trial_,End,1759440136907,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,5,0,inst-3,NULL,PennController,9,_Trial_,Start,1759440136908,1,3368,4,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,5,0,inst-3,NULL,PennController,9,_Header_,Start,1759440136908,1,3368,4,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,5,0,inst-3,NULL,PennController,9,_Header_,End,1759440136908,1,3368,4,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,5,0,inst-3,NULL,Selector,comparison,Selection,a1,1759440148203,1,3368,4,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,a1;a2
1759440314,146468190c761e973af085b5d4a89753,PennController,5,0,inst-3,NULL,PennController,9,_Trial_,End,1759440148204,1,3368,4,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,6,0,inst-4,NULL,PennController,4,_Trial_,Start,1759440148205,1,3368,4,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,6,0,inst-4,NULL,PennController,4,_Header_,Start,1759440148205,1,3368,4,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,6,0,inst-4,NULL,PennController,4,_Header_,End,1759440148205,1,3368,4,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,6,0,inst-4,NULL,PennController,4,_Trial_,End,1759440152083,1,3368,4,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,7,0,inst-5,NULL,PennController,10,_Trial_,Start,1759440152084,2,2166,3,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1759440314,146468190c761e973af085b5d4a89753,PennController,7,0,inst-5,NULL,PennController,10,_Header_,Start,1759440152084,2,2166,3,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
