Results.reception.time,MD5.hash.of.participant.s.IP.address,Controller.name,Order.number.of.item,Inner.element.number,Label,Latin.Square.Group,PennElementType,PennElementName,Parameter,Value,EventTime,TrialNumber,AnswerRT,DialogueRT,A2,A1,D3,D2,D1,Condition,ConditionName,Answer,Inference,Item,Group,Type,Comments
1759440224,c717eba1e503af12bbb8bc76b779e7b0,PennController,1,0,intro,NULL,PennController,0,_Trial_,Start,1759439855384,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440224,c717eba1e503af12bbb8bc76b779e7b0,PennController,1,0,intro,NULL,PennController,0,_Header_,Start,1759439855384,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440224,c717eba1e503af12bbb8bc76b779e7b0,PennController,1,0,intro,NULL,PennController,0,_Header_,End,1759439855385,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440224,c717eba1e503af12bbb8bc76b779e7b0,PennController,1,0,intro,NULL,PennController,0,_Trial_,End,1759439871599,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440224,c717eba1e503af12bbb8bc76b779e7b0,PennController,2,0,consent,NULL,PennController,1,_Trial_,Start,1759439871600,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440224,c717eba1e503af12bbb8bc76b779e7b0,PennController,2,0,consent,NULL,PennController,1,_Header_,Start,1759439871600,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440224,c717eba1e503af12bbb8bc76b779e7b0,PennController,2,0,consent,NULL,PennController,1,_Header_,End,1759439871600,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440224,c717eba1e503af12bbb8bc76b779e7b0,PennController,2,0,consent,NULL,PennController,1,_Trial_,End,1759439874261,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440224,c717eba1e503af12bbb8bc76b779e7b0,PennController,3,0,demo,NULL,PennController,2,_Trial_,Start,1759439874262,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440224,c717eba1e503af12bbb8bc76b779e7b0,PennController,3,0,demo,NULL,PennController,2,_Header_,Start,1759439874262,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440224,c717eba1e503af12bbb8bc76b779e7b0,PennController,3,0,demo,NULL,PennController,2,_Header_,End,1759439874262,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440224,c717eba1e503af12bbb8bc76b779e7b0,PennController,3,0,demo,NULL,TextInput,age,First,"",1759439966433,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,2
1759440224,c717eba1e503af12bbb8bc76b779e7b0,PennController,3,0,demo,NULL,TextInput,gender,First,"",1759439969159,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,CapsLock
