Results.reception.time,MD5.hash.of.participant.s.IP.address,Controller.name,Order.number.of.item,Inner.element.number,Label,Latin.Square.Group,PennElementType,PennElementName,Parameter,Value,EventTime,TrialNumber,AnswerRT,DialogueRT,A2,A1,D3,D2,D1,Condition,ConditionName,Answer,Inference,Item,Group,Type,Comments
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,1,0,intro,NULL,PennController,0,_Trial_,Start,1759439936893,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,1,0,intro,NULL,PennController,0,_Header_,Start,1759439936893,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,1,0,intro,NULL,PennController,0,_Header_,End,1759439936895,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,1,0,intro,NULL,PennController,0,_Trial_,End,1759439941270,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,2,0,consent,NULL,PennController,1,_Trial_,Start,1759439941277,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,2,0,consent,NULL,PennController,1,_Header_,Start,1759439941277,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,2,0,consent,NULL,PennController,1,_Header_,End,1759439941279,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,2,0,consent,NULL,PennController,1,_Trial_,End,1759439946851,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,PennController,2,_Trial_,Start,1759439946856,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,PennController,2,_Header_,Start,1759439946856,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,PennController,2,_Header_,End,1759439946857,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,TextInput,age,First,"",1759439950558,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,3
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,TextInput,gender,First,"",1759439954450,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,m
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,TextInput,geo,First,"",1759439958134,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Shift
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,TextInput,comp,First,"",1759439969621,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Shift
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,TextInput,language,First,"",1759439976990,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Shift
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,TextInput,otherlg,First,"",1759439981966,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,TextInput,age,Final,44,1759439988425,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,TextInput,gender,Final,male,1759439988425,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,TextInput,geo,Final,TN%2C USA,1759439988426,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,TextInput,comp,Final,HP PC,1759439988427,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,TextInput,language,Final,English,1759439988427,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,TextInput,otherlg,Final,n/a,1759439988428,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,3,0,demo,NULL,PennController,2,_Trial_,End,1759439988432,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,4,0,inst-1,NULL,PennController,3,_Trial_,Start,1759439988446,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,4,0,inst-1,NULL,PennController,3,_Header_,Start,1759439988446,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,4,0,inst-1,NULL,PennController,3,_Header_,End,1759439988448,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,4,0,inst-1,NULL,PennController,3,_Trial_,End,1759440027115,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,5,0,inst-3,NULL,PennController,9,_Trial_,Start,1759440027121,1,6095,22,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,5,0,inst-3,NULL,PennController,9,_Header_,Start,1759440027121,1,6095,22,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,5,0,inst-3,NULL,PennController,9,_Header_,End,1759440027122,1,6095,22,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,5,0,inst-3,NULL,Selector,comparison,Selection,a1,1759440042967,1,6095,22,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,a1;a2
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,5,0,inst-3,NULL,PennController,9,_Trial_,End,1759440042976,1,6095,22,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,6,0,inst-4,NULL,PennController,4,_Trial_,Start,1759440042984,1,6095,22,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,6,0,inst-4,NULL,PennController,4,_Header_,Start,1759440042984,1,6095,22,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,6,0,inst-4,NULL,PennController,4,_Header_,End,1759440042985,1,6095,22,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,6,0,inst-4,NULL,PennController,4,_Trial_,End,1759440047288,1,6095,22,...the pastries <span class='highlight'>must be sold out</span> by now.,...the pastries <span class='highlight'>might be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,7,0,inst-5,NULL,PennController,10,_Trial_,Start,1759440047295,2,3797,21,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,7,0,inst-5,NULL,PennController,10,_Header_,Start,1759440047295,2,3797,21,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,7,0,inst-5,NULL,PennController,10,_Header_,End,1759440047296,2,3797,21,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,7,0,inst-5,NULL,Selector,comparison,Selection,a1,1759440057177,2,3797,21,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,a1;a2
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,7,0,inst-5,NULL,PennController,10,_Trial_,End,1759440057185,2,3797,21,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,8,0,exp-start,NULL,PennController,5,_Trial_,Start,1759440057191,2,3797,21,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,8,0,exp-start,NULL,PennController,5,_Header_,Start,1759440057191,2,3797,21,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,8,0,exp-start,NULL,PennController,5,_Header_,End,1759440057192,2,3797,21,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,8,0,exp-start,NULL,PennController,5,_Trial_,End,1759440063060,2,3797,21,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,22,0,check,NULL,PennController,23,_Trial_,Start,1759440063065,3,3232,18,... the metro <span class='highlight'>was</span> closed. ,... the metro <span class='highlight'>was</span> open. ,Well%2C then ...,Oh%2C I walked past a metro station last night at 2 a.m.,The metro closes at 3 a.m. every night.,practice,check_1d,"",d,2001,B,check,NULL
1759440180,923815d1b9b90221fcad9b8aad05b8a9,PennController,22,0,check,NULL,PennController,23,_Header_,Start,1759440063065,3,3232,18,... the metro <span class='highlight'>was</span> closed. ,... the metro <span class='highlight'>was</span> open. ,Well%2C then ...,Oh%2C I walked past a metro station last night at 2 a.m.,The metro closes at 3 a.m. every night.,practice,check_1d,"",d,2001,B,check,NULL
