Results.reception.time,MD5.hash.of.participant.s.IP.address,Controller.name,Order.number.of.item,Inner.element.number,Label,Latin.Square.Group,PennElementType,PennElementName,Parameter,Value,EventTime,TrialNumber,AnswerRT,DialogueRT,A2,A1,D3,D2,D1,Condition,ConditionName,Answer,Inference,Item,Group,Type,Comments
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,1,0,intro,NULL,PennController,0,_Trial_,Start,1762531490367,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,1,0,intro,NULL,PennController,0,_Header_,Start,1762531490367,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,1,0,intro,NULL,PennController,0,_Header_,End,1762531490368,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,1,0,intro,NULL,PennController,0,_Trial_,End,1762531505024,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,2,0,consent,NULL,PennController,1,_Trial_,Start,1762531505026,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,2,0,consent,NULL,PennController,1,_Header_,Start,1762531505026,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,2,0,consent,NULL,PennController,1,_Header_,End,1762531505027,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,2,0,consent,NULL,PennController,1,_Trial_,End,1762531542606,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,PennController,2,_Trial_,Start,1762531542608,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,PennController,2,_Header_,Start,1762531542608,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,PennController,2,_Header_,End,1762531542608,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,TextInput,age,First,"",1762531546378,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,6
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,TextInput,gender,First,"",1762531547999,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,f
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,TextInput,geo,First,"",1762531553642,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Shift
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,TextInput,comp,First,"",1762531560277,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Shift
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,TextInput,language,First,"",1762531563134,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Shift
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,TextInput,otherlg,First,"",1762531566026,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Shift
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,TextInput,age,Final,65,1762531571037,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,TextInput,gender,Final,female,1762531571037,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,TextInput,geo,Final,Arkansas%2C USA,1762531571037,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,TextInput,comp,Final,Windows,1762531571037,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,TextInput,language,Final,English,1762531571037,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,TextInput,otherlg,Final,None,1762531571037,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,3,0,demo,NULL,PennController,2,_Trial_,End,1762531571038,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,4,0,inst-1,NULL,PennController,3,_Trial_,Start,1762531571040,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,4,0,inst-1,NULL,PennController,3,_Header_,Start,1762531571040,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,4,0,inst-1,NULL,PennController,3,_Header_,End,1762531571040,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,4,0,inst-1,NULL,PennController,3,_Trial_,End,1762531597933,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,5,0,inst-3,NULL,PennController,9,_Trial_,Start,1762531597935,1,7050,5,...the pastries <span class='highlight'>are probably sold out</span> by now.,...the pastries <span class='highlight'>should be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,5,0,inst-3,NULL,PennController,9,_Header_,Start,1762531597935,1,7050,5,...the pastries <span class='highlight'>are probably sold out</span> by now.,...the pastries <span class='highlight'>should be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,5,0,inst-3,NULL,PennController,9,_Header_,End,1762531597936,1,7050,5,...the pastries <span class='highlight'>are probably sold out</span> by now.,...the pastries <span class='highlight'>should be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,5,0,inst-3,NULL,Selector,comparison,Selection,a2,1762531611902,1,7050,5,...the pastries <span class='highlight'>are probably sold out</span> by now.,...the pastries <span class='highlight'>should be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,a1;a2
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,5,0,inst-3,NULL,PennController,9,_Trial_,End,1762531611911,1,7050,5,...the pastries <span class='highlight'>are probably sold out</span> by now.,...the pastries <span class='highlight'>should be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,6,0,inst-4,NULL,PennController,4,_Trial_,Start,1762531611912,1,7050,5,...the pastries <span class='highlight'>are probably sold out</span> by now.,...the pastries <span class='highlight'>should be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,6,0,inst-4,NULL,PennController,4,_Header_,Start,1762531611912,1,7050,5,...the pastries <span class='highlight'>are probably sold out</span> by now.,...the pastries <span class='highlight'>should be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,6,0,inst-4,NULL,PennController,4,_Header_,End,1762531611912,1,7050,5,...the pastries <span class='highlight'>are probably sold out</span> by now.,...the pastries <span class='highlight'>should be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,6,0,inst-4,NULL,PennController,4,_Trial_,End,1762531614517,1,7050,5,...the pastries <span class='highlight'>are probably sold out</span> by now.,...the pastries <span class='highlight'>should be sold out</span> by now.,Well%2C if they had a sale this morning%2C and it's already noon%2C ...,My friend said they posted about a big sale this morning.,When the local bakery runs a sale%2C they sell out of pastries quickly.,practice,obvious_example,practice,practice,1002,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,7,0,inst-5,NULL,PennController,10,_Trial_,Start,1762531614518,2,7788,2,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,7,0,inst-5,NULL,PennController,10,_Header_,Start,1762531614518,2,7788,2,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,7,0,inst-5,NULL,PennController,10,_Header_,End,1762531614519,2,7788,2,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,7,0,inst-5,NULL,Selector,comparison,Selection,a2,1762531627116,2,7788,2,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,a2;a1
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,7,0,inst-5,NULL,PennController,10,_Trial_,End,1762531627119,2,7788,2,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,8,0,exp-start,NULL,PennController,5,_Trial_,Start,1762531627121,2,7788,2,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,8,0,exp-start,NULL,PennController,5,_Header_,Start,1762531627121,2,7788,2,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,8,0,exp-start,NULL,PennController,5,_Header_,End,1762531627122,2,7788,2,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,8,0,exp-start,NULL,PennController,5,_Trial_,End,1762531634230,2,7788,2,...the parking lot <span class='highlight'>is probably filled up</span> by now.,...the parking lot <span class='highlight'>should be filled up</span> by now.,Well%2C if it was sunny this morning%2C and it's already 2pm%2C ...,My friend said it was beautiful weather this morning.,When it's sunny and warm%2C the beach parking lot fills up fast.,practice,negobvious_example,practice,practice,1001,practice,practice,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,23,0,check,NULL,PennController,24,_Trial_,Start,1762531634231,3,1249,3,... she <span class='highlight'>lost</span> the competition .,... she <span class='highlight'>won</span> the competition.,Well%2C if her robot jumped the highest%2C ...,Oh%2C my friend entered that competition%2C and her robot jumped the highest.,The robot that jumps the highest wins the competition.,practice,check_2d,"",d,2002,C,check,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,23,0,check,NULL,PennController,24,_Header_,Start,1762531634231,3,1249,3,... she <span class='highlight'>lost</span> the competition .,... she <span class='highlight'>won</span> the competition.,Well%2C if her robot jumped the highest%2C ...,Oh%2C my friend entered that competition%2C and her robot jumped the highest.,The robot that jumps the highest wins the competition.,practice,check_2d,"",d,2002,C,check,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,23,0,check,NULL,PennController,24,_Header_,End,1762531634232,3,1249,3,... she <span class='highlight'>lost</span> the competition .,... she <span class='highlight'>won</span> the competition.,Well%2C if her robot jumped the highest%2C ...,Oh%2C my friend entered that competition%2C and her robot jumped the highest.,The robot that jumps the highest wins the competition.,practice,check_2d,"",d,2002,C,check,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,23,0,check,NULL,Selector,comparison,Selection,a1,1762531640985,3,1249,3,... she <span class='highlight'>lost</span> the competition .,... she <span class='highlight'>won</span> the competition.,Well%2C if her robot jumped the highest%2C ...,Oh%2C my friend entered that competition%2C and her robot jumped the highest.,The robot that jumps the highest wins the competition.,practice,check_2d,"",d,2002,C,check,a1;a2
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,23,0,check,NULL,PennController,24,_Trial_,End,1762531640988,3,1249,3,... she <span class='highlight'>lost</span> the competition .,... she <span class='highlight'>won</span> the competition.,Well%2C if her robot jumped the highest%2C ...,Oh%2C my friend entered that competition%2C and her robot jumped the highest.,The robot that jumps the highest wins the competition.,practice,check_2d,"",d,2002,C,check,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,11,0,trial,NULL,PennController,12,_Trial_,Start,1762531640991,4,2872,4,... she <span class='highlight'>must have completed</span> ethics training.,... she<span class='highlight'>'s got to have completed</span> ethics training.,Well%2C if she's been there for over two years%2C ...,Oh%2C my wife is a financial advisor at a bank%2C and she’s been there for three years.,At Capital Bank%2C financial advisors do ethics training every two years.,practice,iHaveto_2,haveto,i,2,C,exp,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,11,0,trial,NULL,PennController,12,_Header_,Start,1762531640991,4,2872,4,... she <span class='highlight'>must have completed</span> ethics training.,... she<span class='highlight'>'s got to have completed</span> ethics training.,Well%2C if she's been there for over two years%2C ...,Oh%2C my wife is a financial advisor at a bank%2C and she’s been there for three years.,At Capital Bank%2C financial advisors do ethics training every two years.,practice,iHaveto_2,haveto,i,2,C,exp,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,11,0,trial,NULL,PennController,12,_Header_,End,1762531640991,4,2872,4,... she <span class='highlight'>must have completed</span> ethics training.,... she<span class='highlight'>'s got to have completed</span> ethics training.,Well%2C if she's been there for over two years%2C ...,Oh%2C my wife is a financial advisor at a bank%2C and she’s been there for three years.,At Capital Bank%2C financial advisors do ethics training every two years.,practice,iHaveto_2,haveto,i,2,C,exp,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,11,0,trial,NULL,Selector,comparison,Selection,a2,1762531651187,4,2872,4,... she <span class='highlight'>must have completed</span> ethics training.,... she<span class='highlight'>'s got to have completed</span> ethics training.,Well%2C if she's been there for over two years%2C ...,Oh%2C my wife is a financial advisor at a bank%2C and she’s been there for three years.,At Capital Bank%2C financial advisors do ethics training every two years.,practice,iHaveto_2,haveto,i,2,C,exp,a1;a2
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,11,0,trial,NULL,PennController,12,_Trial_,End,1762531651190,4,2872,4,... she <span class='highlight'>must have completed</span> ethics training.,... she<span class='highlight'>'s got to have completed</span> ethics training.,Well%2C if she's been there for over two years%2C ...,Oh%2C my wife is a financial advisor at a bank%2C and she’s been there for three years.,At Capital Bank%2C financial advisors do ethics training every two years.,practice,iHaveto_2,haveto,i,2,C,exp,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,17,0,filler,NULL,PennController,18,_Trial_,Start,1762531651192,5,1531,2,... he <span class='highlight'>might have been put</span> on academic probation.,... he <span class='highlight'>was put</span> on academic probation.,Well%2C if he missed that many practices%2C ...,Oh%2C my boyfriend is on another lacrosse team%2C and he missed 4 practices.,On my lacrosse team%2C athletes who miss 4 practices are put on academic probation.,practice,filler_i,"",i,1026,C,filler,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,17,0,filler,NULL,PennController,18,_Header_,Start,1762531651192,5,1531,2,... he <span class='highlight'>might have been put</span> on academic probation.,... he <span class='highlight'>was put</span> on academic probation.,Well%2C if he missed that many practices%2C ...,Oh%2C my boyfriend is on another lacrosse team%2C and he missed 4 practices.,On my lacrosse team%2C athletes who miss 4 practices are put on academic probation.,practice,filler_i,"",i,1026,C,filler,NULL
1762531796,8cef621d098fda1a7c5fbc60c630429c,PennController,17,0,filler,NULL,PennController,18,_Header_,End,1762531651193,5,1531,2,... he <span class='highlight'>might have been put</span> on academic probation.,... he <span class='highlight'>was put</span> on academic probation.,Well%2C if he missed that many practices%2C ...,Oh%2C my boyfriend is on another lacrosse team%2C and he missed 4 practices.,On my lacrosse team%2C athletes who miss 4 practices are put on academic probation.,practice,filler_i,"",i,1026,C,filler,NULL
